iter	Passed	Remaining
891	1160	140
892	1161	139
893	1163	137
894	1164	136
895	1166	135
896	1167	134
897	1168	132
898	1170	131
899	1171	130
900	1172	128
901	1174	127
902	1175	126
903	1176	124
904	1177	123
905	1179	122
906	1180	121
907	1182	119
908	1183	118
909	1184	117
910	1185	115
911	1187	114
912	1188	113
913	1189	111
914	1190	110
915	1191	109
916	1193	108
917	1194	106
918	1195	105
919	1197	104
920	1198	102
921	1199	101
922	1201	100
923	1202	98
924	1203	97
925	1204	96
926	1205	94
927	1207	93
928	1208	92
929	1210	91
930	1211	89
931	1213	88
932	1214	87
933	1215	85
934	1217	84
935	1218	83
936	1220	82
937	1221	80
938	1223	79
939	1224	78
940	1225	76
941	1227	75
942	1228	74
943	1229	72
944	1231	71
945	1232	70
946	1234	69
947	1235	67
948	1236	66
949	1238	65
950	1240	63
951	1241	62
952	1242	61
953	1244	59
954	1245	58
955	1247	57
956	1248	56
957	1249	54
958	1251	53
959	1252	52
960	1254	50
961	1255	49
962	1256	48
963	1258	47
964	1260	45
965	1261	44
966	1263	43
967	1264	41
968	1265	40
969	1267	39
970	1268	37
971	1269	36
972	1271	35
973	1272	33
974	1274	32
975	1275	31
976	1276	30
977	1278	28
978	1279	27
979	1280	26
980	1281	24
981	1283	23
982	1284	22
983	1285	20
984	1286	19
985	1287	18
986	1289	16
987	1290	15
988	1292	14
989	1293	13
990	1295	11
991	1296	10
992	1297	9
993	1299	7
994	1300	6
995	1302	5
996	1303	3
997	1304	2
998	1306	1
999	1307	0
