iter	Passed	Remaining
618	1447	890
619	1449	888
620	1451	885
621	1453	883
622	1455	880
623	1458	879
624	1461	876
625	1462	873
626	1463	870
627	1465	868
628	1467	865
629	1469	863
630	1471	860
631	1475	858
632	1476	856
633	1478	853
634	1480	851
635	1483	848
636	1485	846
637	1487	843
638	1489	841
639	1491	839
640	1493	836
641	1495	833
642	1497	831
643	1499	828
644	1501	826
645	1503	824
646	1506	821
647	1507	819
648	1509	816
649	1512	814
650	1514	811
651	1516	809
652	1518	806
653	1520	804
654	1522	801
655	1524	799
656	1526	797
657	1529	794
658	1531	792
659	1534	790
660	1536	787
661	1538	785
662	1540	783
663	1543	780
664	1545	778
665	1547	776
666	1550	774
667	1552	771
668	1554	769
669	1556	766
670	1557	763
671	1559	761
672	1561	758
673	1564	756
674	1566	754
675	1568	751
676	1570	749
677	1572	747
678	1574	744
679	1577	742
680	1580	740
681	1582	737
682	1584	735
683	1586	733
684	1589	730
685	1591	728
686	1594	726
687	1596	723
688	1598	721
689	1600	719
690	1602	716
691	1603	713
692	1606	711
693	1608	709
694	1611	707
695	1613	704
696	1615	702
697	1617	699
698	1619	697
699	1621	694
700	1625	693
701	1628	691
702	1630	688
703	1632	686
704	1635	684
705	1637	681
706	1640	680
707	1643	677
708	1645	675
709	1648	673
710	1650	670
711	1652	668
712	1655	666
713	1657	663
714	1659	661
715	1662	659
716	1664	657
717	1666	654
718	1669	652
719	1671	649
720	1672	647
721	1674	644
722	1676	642
723	1678	639
724	1680	637
725	1682	635
726	1684	632
727	1686	630
728	1688	627
729	1691	625
730	1693	623
731	1695	620
732	1697	618
733	1699	615
734	1702	613
735	1703	611
736	1705	608
737	1706	605
738	1708	603
739	1709	600
740	1711	598
741	1713	595
742	1717	594
743	1719	591
744	1721	589
745	1723	586
746	1725	584
747	1727	582
748	1730	579
749	1732	577
750	1734	575
751	1736	572
752	1739	570
753	1740	568
754	1743	565
755	1745	563
756	1747	561
757	1750	558
758	1752	556
759	1754	554
760	1756	551
761	1759	549
762	1763	547
763	1765	545
764	1768	543
765	1770	540
766	1772	538
767	1777	536
768	1779	534
769	1781	532
770	1783	529
771	1785	527
772	1788	525
773	1791	523
774	1793	520
775	1795	518
776	1797	515
777	1799	513
778	1802	511
779	1804	508
780	1807	506
781	1810	504
782	1812	502
783	1813	499
784	1815	497
785	1816	494
786	1818	492
787	1819	489
788	1822	487
789	1824	484
790	1825	482
791	1827	480
792	1830	477
793	1833	475
794	1838	474
795	1840	471
796	1842	469
797	1844	466
798	1846	464
799	1849	462
800	1855	460
801	1857	458
802	1859	456
803	1861	453
804	1863	451
805	1865	449
806	1867	446
807	1869	444
808	1871	441
809	1873	439
810	1875	437
811	1877	434
812	1880	432
813	1884	430
814	1886	428
815	1888	425
816	1891	423
817	1893	421
818	1896	419
819	1898	416
820	1900	414
821	1903	412
822	1905	409
823	1907	407
824	1909	405
825	1913	403
826	1915	400
827	1916	398
828	1918	395
829	1920	393
830	1922	390
831	1924	388
832	1927	386
833	1929	384
834	1931	381
835	1934	379
836	1936	377
837	1938	374
838	1940	372
839	1946	370
840	1948	368
841	1949	365
842	1951	363
843	1953	361
844	1957	359
845	1960	356
846	1962	354
847	1964	352
848	1966	349
849	1969	347
850	1971	345
851	1973	342
852	1975	340
853	1977	338
854	1979	335
855	1980	333
856	1981	330
857	1984	328
858	1986	326
859	1988	323
860	1990	321
861	1991	318
862	1993	316
863	1995	314
864	1997	311
865	1999	309
866	2001	306
867	2005	304
868	2006	302
869	2008	300
870	2010	297
871	2013	295
872	2015	293
873	2019	291
874	2021	288
875	2022	286
876	2024	283
877	2026	281
878	2028	279
879	2031	276
880	2033	274
881	2035	272
882	2037	269
883	2039	267
884	2040	265
885	2041	262
886	2044	260
887	2045	257
888	2047	255
889	2049	253
890	2051	250
891	2052	248
892	2055	246
893	2057	243
894	2058	241
895	2060	239
896	2063	236
897	2065	234
898	2067	232
899	2068	229
900	2070	227
901	2073	225
902	2075	222
903	2077	220
904	2080	218
905	2082	216
906	2084	213
907	2086	211
908	2089	209
909	2091	206
910	2095	204
911	2096	202
912	2098	199
913	2099	197
914	2101	195
915	2103	192
916	2105	190
917	2109	188
918	2112	186
919	2114	183
920	2117	181
921	2119	179
922	2121	176
923	2123	174
924	2125	172
925	2126	169
926	2129	167
927	2131	165
928	2133	163
929	2135	160
930	2137	158
931	2140	156
932	2142	153
933	2144	151
934	2146	149
935	2149	146
936	2151	144
937	2155	142
938	2157	140
939	2159	137
940	2161	135
941	2163	133
942	2166	130
943	2169	128
944	2172	126
945	2174	124
946	2176	121
947	2179	119
948	2181	117
949	2183	114
950	2185	112
951	2187	110
952	2189	108
953	2192	105
954	2194	103
955	2196	101
956	2198	98
957	2200	96
958	2202	94
959	2203	91
960	2205	89
961	2206	87
962	2208	84
963	2210	82
964	2212	80
965	2215	77
966	2217	75
967	2219	73
968	2221	71
969	2223	68
970	2225	66
971	2228	64
972	2232	61
973	2234	59
974	2236	57
975	2238	55
976	2240	52
977	2242	50
978	2245	48
979	2247	45
980	2249	43
981	2251	41
982	2253	38
983	2256	36
984	2257	34
985	2260	32
986	2262	29
987	2264	27
988	2265	25
989	2267	22
990	2269	20
991	2271	18
992	2272	16
993	2274	13
994	2289	11
995	2292	9
996	2293	6
997	2295	4
998	2297	2
999	2299	0
